Transaction ID,Items
1,"bread, eggs, toothpaste"
2,"bread, bread"
3,"toothpaste, toothpaste, bread, milk, milk, cereal"
4,"bread, toothpaste, milk, chips, shampoo, bread"
5,"bread, chips, cereal, chips, milk, cereal"
6,"shampoo, chips, cereal, milk"
7,"diapers, chips, milk, milk, bread, bread"
8,"shampoo, milk"
9,"eggs, eggs, detergent, chips, cereal"
10,"detergent, milk, shampoo"
11,"diapers, milk, chips, toothpaste, bread, cereal"
12,"clothes, bread, bread, bread, shampoo, cereal"
13,"clothes, bread, milk, cereal"
14,"milk, eggs, cereal, diapers, diapers, toothpaste"
15,"milk, eggs, bread, cereal, chips, detergent"
16,"bread, clothes, bread, eggs"
17,"bread, shampoo, chips, eggs"
18,"toothpaste, eggs, milk, milk, toothpaste"
19,"cereal, milk, cereal, cereal, eggs"
20,"eggs, bread"
